iter	RMSE
0	0.9955196183
1	0.9621789207
2	0.9357733847
3	0.9079428245
4	0.8819228497
5	0.8562493337
6	0.8352459145
7	0.8135485351
8	0.796082083
9	0.7765375279
10	0.7596037068
11	0.7415713713
12	0.7249164686
13	0.7074137456
14	0.6960124787
15	0.6811509161
16	0.6706839901
17	0.6629369754
18	0.6546213098
19	0.6448315557
20	0.6354042866
21	0.6250921517
22	0.6147225232
23	0.6102592274
24	0.6050148403
25	0.5974304415
26	0.5914897963
27	0.5834672382
28	0.5771088328
29	0.5736190989
30	0.5699991643
31	0.5637042418
32	0.5583218278
33	0.5503185652
34	0.542475103
35	0.5371569601
36	0.5321652408
37	0.5282991476
38	0.5202324693
39	0.5165810811
40	0.5096289461
41	0.5073109236
42	0.5032206095
43	0.4977435399
44	0.4937603551
45	0.490186825
46	0.4864033066
47	0.4833108553
48	0.4818498031
49	0.4782839927
50	0.4724315932
51	0.4669054626
52	0.4624747621
53	0.4602271794
54	0.4580040335
55	0.4559455983
56	0.4521173482
57	0.4499174341
58	0.4475781905
59	0.4445270733
60	0.4438321541
61	0.441239595
62	0.4394540465
63	0.4353424238
64	0.4318708858
65	0.4277164537
66	0.4246889065
67	0.4225592525
68	0.4199240378
69	0.4166667259
70	0.4149129781
71	0.4141834592
72	0.4133538791
73	0.4112474205
74	0.4102439255
75	0.4087734262
76	0.4074364031
77	0.4054508902
78	0.4047774951
79	0.4039300075
80	0.4027058221
81	0.3995428972
82	0.3985687129
83	0.3971163091
84	0.3950005407
85	0.392994857
86	0.3915888656
87	0.390825313
88	0.3883717796
89	0.3869616123
90	0.3863040128
91	0.3856894993
92	0.3812619098
93	0.3807436509
94	0.3792654159
95	0.3760631454
96	0.3752309665
97	0.3735217667
98	0.3729909547
99	0.3720192724
100	0.3704587707
101	0.3681249924
102	0.3674821147
103	0.3649850305
104	0.3601551862
105	0.3567080009
106	0.3559918582
107	0.3534907283
108	0.3493481062
109	0.3477089323
110	0.3446342486
111	0.3422722511
112	0.3403452812
113	0.338289973
114	0.3370974876
115	0.3354185104
116	0.3349966985
117	0.3331144282
118	0.3301751116
119	0.3279186652
120	0.3256814802
121	0.3244687806
122	0.3241558622
123	0.3232712564
124	0.3222201347
125	0.3211171088
126	0.3185321086
127	0.3167815451
128	0.3161365151
129	0.3155520485
130	0.3143953421
131	0.3140412655
132	0.313826
133	0.3124972361
134	0.3117007045
135	0.3086888973
136	0.307054737
137	0.3055571641
138	0.3044585106
139	0.3024232544
140	0.3005470444
141	0.299606243
142	0.2993604068
143	0.298754775
144	0.2978451955
145	0.2965587094
146	0.2948505759
147	0.2944385752
148	0.2920480719
149	0.2913224921
150	0.2904799649
151	0.2901822834
152	0.2897918554
153	0.2896264983
154	0.2876712086
155	0.2849858558
156	0.2829605589
157	0.2826002968
158	0.2807522214
159	0.2798660692
160	0.2789068581
161	0.2782512555
162	0.2748511697
163	0.2745530987
164	0.2736318386
165	0.2727943289
166	0.2713171868
167	0.2697759828
168	0.2688339405
169	0.2686547715
170	0.2669377982
171	0.2658275901
172	0.2638851735
173	0.2623027856
174	0.2607512773
175	0.2599627425
176	0.258285204
177	0.2575649547
178	0.2564008559
179	0.2557607629
180	0.2543409217
181	0.253433422
182	0.2524753098
183	0.2518648758
184	0.2513468823
185	0.2507161364
186	0.2501983226
187	0.2500000725
188	0.2483086973
189	0.2474106784
190	0.2455059477
191	0.2451779153
192	0.2448673556
193	0.2445799835
194	0.243472991
195	0.2428428014
196	0.2421635058
197	0.2411139582
198	0.2405593196
199	0.2390116788
200	0.238615131
201	0.2374157208
202	0.2369018319
203	0.235970036
204	0.2357223321
205	0.2354620197
206	0.2341310664
207	0.233762387
208	0.2327229983
209	0.2320934651
210	0.2316291666
211	0.2297151849
212	0.228508912
213	0.2279116978
214	0.2277053015
215	0.2258029718
216	0.2250353477
217	0.2226037302
218	0.2217425686
219	0.22104337
220	0.2202801279
221	0.2201140132
222	0.2188745746
223	0.2170541737
224	0.2164192075
225	0.215254846
226	0.214413156
227	0.2133157794
228	0.2130086489
229	0.2127854023
230	0.2115868318
231	0.2112230705
232	0.2111228256
233	0.210932169
234	0.2100089718
235	0.2099316212
236	0.2089418502
237	0.208502952
238	0.2075226002
239	0.2072311702
240	0.2064200405
241	0.2053966306
242	0.2051645636
243	0.2048224852
244	0.2040334977
245	0.2027314292
246	0.2025731407
247	0.2014233112
248	0.2005771125
249	0.1997406241
250	0.1991367564
251	0.1979445692
252	0.1958103508
253	0.1953092975
254	0.1937614795
255	0.1922803844
256	0.1908587639
257	0.189512141
258	0.1889250026
259	0.1877916267
260	0.1876565327
261	0.1859881624
262	0.1846087761
263	0.1834052379
264	0.1829817475
265	0.1824828197
266	0.1814862749
267	0.180938764
268	0.180783842
269	0.1806679416
270	0.1805687246
271	0.179320576
272	0.1783203876
273	0.1770127245
274	0.1758970883
275	0.1743618795
276	0.1742442691
277	0.1737320525
278	0.172822131
279	0.1725311783
280	0.172343884
