iter	Passed	Remaining
401	15221	105036
402	15258	104990
403	15295	104950
404	15330	104889
405	15382	104946
406	15415	104880
407	15449	104815
408	15488	104784
409	15526	104750
410	15566	104724
411	15606	104702
412	15649	104699
413	15688	104664
414	15727	104634
415	15761	104568
416	15799	104532
417	15837	104494
418	15877	104472
419	15915	104436
420	15954	104405
421	15993	104375
422	16029	104327
423	16059	104238
424	16096	104194
425	16129	104122
426	16167	104086
427	16201	104024
428	16237	103974
429	16279	103959
430	16317	103926
431	16353	103873
432	16386	103808
433	16423	103765
434	16464	103744
435	16499	103690
436	16540	103671
437	16577	103625
438	16615	103592
439	16654	103563
440	16691	103514
441	16728	103474
442	16768	103447
443	16806	103413
444	16840	103350
445	16875	103296
446	16913	103257
447	16947	103197
448	16985	103164
449	17021	103112
450	17053	103039
451	17095	103024
452	17129	102968
453	17163	102908
454	17205	102892
455	17241	102844
456	17277	102793
457	17316	102764
458	17353	102724
459	17396	102717
460	17432	102668
461	17470	102632
462	17510	102606
463	17548	102566
464	17584	102518
465	17618	102461
466	17657	102431
467	17690	102362
468	17726	102315
469	17762	102268
470	17799	102224
471	17837	102188
472	17874	102147
473	17915	102128
474	17948	102061
475	17979	101986
476	18014	101929
477	18062	101949
478	18099	101906
479	18136	101864
480	18173	101826
481	18210	101784
482	18239	101695
483	18276	101653
484	18315	101619
485	18343	101532
486	18388	101531
487	18429	101510
488	18468	101480
489	18505	101438
490	18539	101383
491	18570	101308
492	18604	101250
493	18646	101235
494	18696	101260
495	18731	101210
496	18767	101165
497	18805	101125
498	18842	101084
499	18880	101048
500	18926	101052
501	18964	101017
502	19002	100980
503	19037	100931
504	19075	100893
505	19104	100807
506	19136	100741
507	19175	100710
508	19212	100667
509	19263	100699
510	19299	100654
511	19336	100608
512	19374	100571
513	19409	100521
514	19448	100490
515	19490	100472
516	19527	100431
517	19556	100352
518	19593	100308
519	19627	100249
520	19665	100217
521	19700	100162
522	19738	100126
523	19775	100084
524	19817	100068
525	19854	100026
526	19888	99971
527	19926	99936
528	19967	99911
529	20000	99851
530	20038	99816
531	20077	99784
532	20122	99784
533	20157	99732
534	20192	99678
535	20229	99638
536	20268	99606
537	20307	99572
538	20335	99488
539	20384	99506
540	20423	99476
541	20461	99438
542	20503	99420
543	20534	99352
544	20571	99308
545	20656	99497
546	20693	99455
547	20729	99408
548	20766	99370
549	20804	99331
550	20837	99272
551	20875	99235
