index_original,y_test_log,y_pred_log,y_test_euro,y_pred_euro,error_euro,error_percent
2168,3.610647605844363,6.2549738801120665,35.99000000000001,519.5957766764944,483.60577667649443,1343.722635944691
472,4.905200701620736,3.6728712465677806,133.9900000000001,38.3647697127212,-95.6252302872789,-71.36743808290083
4159,4.453882071774309,4.838321587276769,84.95999999999997,125.25726199791397,40.297261997914006,47.43086393351462
676,3.4833916192881422,3.8673152028628754,31.57,46.813843133004596,15.243843133004596,48.285850912273034
6659,7.261927092702751,6.444617868613274,1424.0000000000005,628.3061533760709,-795.6938466239295,-55.87737686965796
2685,5.991464547107982,4.677127537100122,398.9999999999999,106.46095121857854,-292.53904878142134,-73.31805733870212
3185,4.642562305205154,5.647799353984476,102.81000000000003,282.66652882716994,179.8565288271699,174.94069528953395
5830,6.552493621597604,5.573475812026515,699.9899999999999,262.3478579453872,-437.6421420546127,-62.52119916778993
2892,3.7133281345162463,4.303658982518242,39.99,72.96995391067328,32.97995391067328,82.47050240228377
3298,5.935476036899127,5.260822414545467,377.21999999999997,191.639855987208,-185.58014401279198,-49.196793386562746
5982,5.860757733031528,5.377455532702136,349.9900000000004,215.47077128189986,-134.51922871810055,-38.43516349555713
3540,4.6150215020384655,3.625297346083399,99.99,36.53588264809601,-63.45411735190398,-63.4604633982438
37,4.3943256902608985,2.995926900512085,79.99,19.003892917982988,-60.98610708201701,-76.24216412303664
2821,4.663344750039164,3.9174145343085955,104.99000000000001,49.27030446641071,-55.7196955335893,-53.07143112066797
3792,4.454231010422805,4.536913062609982,84.98999999999998,92.40202842486826,7.412028424868282,8.721059448015394
6453,3.133317936506554,4.952456208462549,21.949999999999996,140.52214526289103,118.57214526289104,540.19200575349
5453,4.510309904964132,4.005556562424588,89.9500000000001,53.902372494871784,-36.04762750512832,-40.07518344094305
2288,3.49650756146648,3.6473565601540407,31.999999999999986,37.373094891506994,5.373094891507009,16.79092153595941
5209,7.170119543449628,5.693981651241866,1299.0,296.0741144402852,-1002.9258855597147,-77.2075354549434
625,4.508218659911641,4.503425210257479,89.76000000000002,89.32598754883603,-0.43401245116399423,-0.4835254580704034
319,4.912581353620868,3.3759684684966897,134.99000000000007,28.252600289025008,-106.73739971097505,-79.07059760795244
7377,7.7406644019172415,6.990526736048656,2299.000000000001,1085.2935154698575,-1213.7064845301434,-52.792800545025784
2275,4.5107496103686,4.793711114908266,89.99000000000004,119.74865030939495,29.75865030939491,33.06884132614168
5425,4.110709916308365,4.141956764910592,59.99000000000001,61.92583211873061,1.9358321187306018,3.226924685331891
2887,2.8326249356838407,3.819857194228372,15.989999999999998,44.5976962416823,28.6076962416823,178.90992021064605
