product_rating,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,badge_amazons,badge_best_seller,badge_ends_in,badge_limited_time_deal,badge_no_badge,badge_save_xpct,log_purchased_last_month,log_original_price,log_total_reviews,"cat_Audio, Sound & Recording Gear",cat_Cameras & Photography,"cat_Chargers, Adapters & Cables",cat_Computer Peripherals,cat_Laptops,cat_Mobile Cell Phones & Smartphones,cat_Networking,"cat_Office Supplies, Ink & Toner",cat_Other Electronics,cat_PC Components,cat_Power & Batteries,cat_Printers & Scanners (Hardware),cat_Small Gadget Accessories (Cases & Protectors),cat_Smart Home & Security,cat_Storage & Memory Cards,cat_TV & Video Displays,cat_Tablets & E-readers (DEVICES ONLY),cat_Video Game Consoles & Virtual Reality,cat_Wearables
4.8,0,1,0,0,0.31,0,1,0,0,0,0,9.210440366976515,3.0440461338325417,11.546128105797946,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.23,0,1,0,0,0,0,11.156264806643742,2.733717947850788,10.884460545216813,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.7,0,1,0,0,0.0,0,1,0,0,0,0,9.210440366976515,2.48989419129904,11.723283630458038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.8,0,1,0,0,0.15,0,0,0,0,1,0,11.156264806643742,3.044522437723423,10.494685060560329,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.6,0,0,0,0,0.0,0,0,0,0,1,0,10.308985993422082,3.889572876590554,9.82730820579731,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.589955020181611,8.721602344674197,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.0,0,1,0,0,0,0,9.210440366976515,4.3943256902608985,12.478227288988386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.6,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.855851080295389,9.6941852674104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.8,0,1,0,0,0.0,0,0,0,0,1,0,10.819798284210286,3.2831643147505627,9.738200088297951,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.12,0,1,0,0,0,0,9.210440366976515,3.2577118486533987,11.19124528445721,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.8,0,1,0,0,0.0,0,1,0,0,0,0,9.210440366976515,6.168564159920785,7.774015077250727,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4.7,0,1,0,0,0.25,0,0,0,0,1,0,9.210440366976515,5.30325515557766,9.558811758564229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.8,0,1,1,0,0.07,0,0,0,0,1,0,10.59665973278358,3.110845080654496,10.785745689666076,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.31,0,1,0,0,0,0,10.59665973278358,3.433664571799657,7.916078096302786,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,0,0,0,0.0,0,0,0,0,1,0,9.210440366976515,2.670694414558441,8.629092283913646,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.5,0,0,1,0,0.0,0,1,0,0,0,0,9.210440366976515,2.563409711275944,10.6737115082755,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.912654885736052,6.786716950605081,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.3,0,1,0,0,0.2,0,1,0,0,0,0,9.210440366976515,4.614625344758847,9.9054855551988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4.6,0,1,0,0,0.0,0,0,0,0,1,0,9.210440366976515,5.1216995126707605,7.870165946469845,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,1,0,0.0,0,0,0,0,1,0,9.90353755128617,4.041119578762556,10.07601126684997,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.3,0,0,0,0,0.0,0,1,0,0,0,0,9.210440366976515,2.8142103969306005,11.14306395922732,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.7,0,1,0,0,0.0,0,0,0,0,1,0,9.210440366976515,4.65386510752685,9.83889569664295,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,0,1,0,0.0,0,1,0,0,0,0,8.517393171418904,6.294804640416468,7.213031659834869,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4.6,0,1,1,0,0.37,1,0,0,0,0,0,9.210440366976515,2.995232148512309,9.889642145714076,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.26,0,0,0,0,1,0,9.90353755128617,4.288677031682191,10.090713728663538,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,0,1,0,0.0,0,0,0,0,1,0,8.699681400989514,6.244710442238636,7.348587530927593,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.7,0,1,1,0,0.0,0,1,0,0,0,0,11.002116507732016,2.6166656393003573,12.352697937665852,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4.1,0,1,0,0,0.19,0,1,0,0,0,0,9.210440366976515,5.141605075260502,8.488176242345745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4.6,0,1,0,0,0.0,0,0,0,0,1,0,9.90353755128617,4.681112189563248,8.843903650835497,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.4,0,1,1,0,0.0,0,1,0,0,0,0,9.210440366976515,3.7035217308508064,10.11431557812769,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.8,0,0,1,0,0.0,0,0,0,0,1,0,7.601402334583733,7.407445129535729,7.10085190894405,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.5,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,3.8284239815518326,6.61338421837956,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
