product_title,product_rating,log_total_reviews,log_purchased_last_month,is_sponsored,buy_box_availability,has_coupon,discount_percentage,product_category,brand_cat,is_high_end,spec_ram_gb,spec_storage_gb,spec_screen_inch,spec_power_w,spec_pack_count,spec_resolution_cat,spec_refresh_rate_hz,spec_ram_speed_mhz,log_original_price,is_best_seller,lsa_0,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,5.883322388488279,0.0,Sponsored,1,0,0.0,PC Components,OTHER,1,,,,,,,,,5.484755438853831,No Badge,0.09762826705733497,-0.06749733596134164,0.038644934897270534,-0.011756478621641682,-0.039584629589116266,-0.0211031968196392,0.004508761492731563,-0.020710356722872324,0.002469636093768045,-0.04385410376925095,-0.056646973559228694,0.011715215077634913,0.0014227495309951654,-0.018818772911141285,0.021984404699371272
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,5.6240175061873385,0.0,Sponsored,1,0,0.0,Storage & Memory Cards,OTHER,1,,250.0,,,,,,,3.783962335360629,No Badge,0.0724763991407129,-0.07205146532623675,0.042560668436032255,-0.0488397113365717,-0.052300329774057894,-0.014338633787884832,-0.003693134791269905,-0.01799273866437196,-0.006643203320787276,-0.05810316101103023,-0.031452554619935305,0.012821224128160657,0.02999447313130093,-0.04329468264747816,-0.013305032662729144
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,11.523598307026532,10.819798284210286,Organic,0,0,0.0,"Office Supplies, Ink & Toner",HP,0,,,,,,,,,3.607940511608584,Best Seller,0.398545269776968,0.22899484065247583,-0.0008463366865770093,0.09928373566482486,-0.06666926329603602,-0.05928591178104329,-0.04126597505240539,-0.023047307662869228,-0.03795508142230255,-0.02037024550666117,0.2908540275788306,0.08962017770552738,-0.10667669290880817,-0.2131596727311387,0.019634284135779265
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,10.986867753062814,10.819798284210286,Organic,0,0,0.0,"Office Supplies, Ink & Toner",HP,0,,,,,,,,,3.804215052793841,No Badge,0.29881421152942045,0.17325787958712296,-0.019302893731494845,0.18360505209714606,-0.12298046717334224,-0.09681485247153655,-0.06279607167218576,-0.046825903225151906,-0.04257540191786046,-0.07327245467527642,0.4392112238926509,0.13169798601663665,-0.13064043264176117,-0.1986703358272608,0.014829232531959308
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,11.598433212074823,9.210440366976515,Organic,0,0,0.0,"Audio, Sound & Recording Gear",SONY,0,,,,,,,,,2.355177543113216,Best Seller,0.11010337407796186,-0.040031149563914084,-0.05776473013328405,0.030505901856488483,0.10638457287653122,-0.030862866946144686,-0.008274719359506428,0.027870577376347287,0.029969970037620156,0.01759280188754626,-0.031643501071082394,0.00934710960290784,0.032005557458691034,-0.10433693626165863,0.0023943388447615938
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,11.739303778794367,11.289794413577894,Organic,1,0,0.14,Power & Batteries,DURACELL,0,,,,,24.0,,,,3.130700133964476,No Badge,0.04385779058317496,-0.06543008910892491,-0.06343418343621994,0.055164189456823456,0.0004507135928417834,0.42409419429860074,-0.07456164550242826,-0.07209080067369397,0.030958837091423382,-0.06731716160394158,0.010841703905249281,-0.02538680201875112,-0.10224966479524866,0.022857588009617263,0.0012728602576021083
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,9.621655004873238,9.210440366976515,Organic,0,0,0.0,Wearables,APPLE,0,,,,,,,,,2.8390784635086144,No Badge,0.06376354201085777,-0.1101344572563927,-0.08907397434477948,-0.021123667013008583,0.08491908306225186,-0.04293184489145269,-0.04872541461183625,0.02453795532343115,-0.016926011293570613,0.01795989606286989,0.012202240400290549,-0.05573207775505497,0.002456005941164929,-0.018561833829462256,-0.013899724769244393
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,10.901266101256551,11.51293546492023,Organic,1,0,0.31,"Office Supplies, Ink & Toner",AMAZON,0,,,,,150.0,,,,2.7298116928837226,No Badge,0.053899130870976794,-0.044005051373427896,-0.060513157273661564,0.02808203792600524,-0.02785982167004056,0.17992756286958222,0.1115664851301496,-0.04344014235655517,0.06195367700213321,0.2590572061233994,0.09040062622986197,0.09102544768454426,0.19752472433342408,-0.05496979596130437,-0.005049889052997495
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,9.460398455831276,9.210440366976515,Organic,0,0,0.0,Wearables,APPLE,0,,,,,,,,,4.991384514504119,No Badge,0.042799679394236144,-0.07091085039180202,-0.011566699687558381,-0.00722215600895593,0.015074787514627909,0.01333166402474249,-0.008095353777576544,0.05308236086805541,-0.016765827048033737,-0.0004934347496915899,-0.008197414740571153,-0.011499410195817262,-0.03674695311803166,-0.0662843913086699,-0.1366328498858418
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,7.554858521040676,9.210440366976515,Organic,0,0,0.0,TV & Video Displays,ROKU,0,,,,,,HD_Basic,,,3.541249137109912,No Badge,0.037795095851151456,-0.06213604573933053,-0.011712172218589086,0.020034828684285234,0.04701130795859726,0.0030217686032570903,0.07687414563309794,0.12775092008237904,-0.10069608582022842,0.005659749194301662,0.03255467006839625,-0.05189116131835397,-0.07562424158699524,0.04483298942528644,-0.09153355223790226
