iter	RMSE
0	1.291520442
1	1.270674289
2	1.248222416
3	1.227601153
4	1.210373764
5	1.1944556
6	1.1781018
7	1.159197698
8	1.144771641
9	1.125113256
10	1.113048832
11	1.098116588
12	1.08439025
13	1.076770029
14	1.063251631
15	1.052005388
16	1.040766346
17	1.029167726
18	1.021635902
19	1.018594306
20	1.00727752
21	0.9990289545
22	0.9906177891
23	0.980894057
24	0.9720737274
25	0.9619857444
26	0.9523806591
27	0.9496719481
28	0.9415737036
29	0.9329013716
30	0.9227780808
31	0.9166118018
32	0.9101757668
33	0.9038541923
34	0.8965162753
35	0.8912626045
36	0.8850246221
37	0.8836035628
38	0.8786275878
39	0.8758136309
40	0.8712077801
41	0.8660743417
42	0.86213026
43	0.8573571062
44	0.854932753
45	0.8507215246
46	0.8470037144
47	0.8433649154
48	0.839915607
49	0.8359462378
50	0.8337421617
51	0.8305480167
52	0.8300228421
53	0.8282940171
54	0.8270684475
55	0.8270669607
56	0.8236277667
57	0.8204344791
58	0.8188674066
59	0.8167924377
60	0.8144666719
61	0.8135298772
62	0.812056015
63	0.8089224259
64	0.8066637332
65	0.805467585
66	0.8030843226
67	0.8026517396
68	0.8007900531
69	0.7985456266
70	0.7975473683
71	0.7962336147
72	0.7960025146
73	0.7956244302
74	0.7932921069
75	0.7907840445
76	0.7891508519
77	0.7889624614
78	0.787111255
79	0.7864273063
80	0.7855009442
81	0.7843523284
82	0.7834408398
83	0.7819619684
84	0.7818437618
85	0.7816910623
86	0.7809549601
87	0.7808740877
88	0.7792646097
89	0.7785891262
90	0.7775951477
91	0.7773209174
92	0.7760841858
93	0.7745433198
94	0.7743431741
95	0.7743427349
96	0.7743423359
97	0.774311218
98	0.7734463479
99	0.7729530776
100	0.7727094057
101	0.7712205313
102	0.7700948404
103	0.7693639452
104	0.7686447188
105	0.7685963683
106	0.7683341883
107	0.7672993429
108	0.7672990875
109	0.7664029372
110	0.7645766857
111	0.7640170526
112	0.7635499448
113	0.7630527712
114	0.762433437
115	0.7608767824
116	0.7608684182
117	0.7607682815
118	0.7600495716
119	0.7585525846
120	0.7574750575
121	0.7574526281
122	0.7567677595
123	0.7559796068
124	0.7555795884
125	0.7552768462
126	0.7552766865
127	0.7551707985
128	0.754944819
129	0.7545868406
130	0.7543183297
131	0.7536037496
132	0.7529762748
133	0.7521006759
134	0.7517496443
135	0.7508489308
136	0.7508427277
137	0.7497869454
138	0.7492867705
139	0.7488880001
140	0.7477688475
141	0.7477112884
142	0.7473959292
143	0.7473851145
144	0.7468977426
145	0.7468976678
146	0.7466684321
147	0.7463269015
148	0.7456426157
149	0.7453259056
150	0.7441136673
151	0.7441136312
152	0.7425676485
153	0.7422786287
154	0.7417252984
155	0.7407401652
156	0.7401521302
157	0.7400583969
158	0.7392985748
159	0.7390619296
160	0.7382193359
161	0.7377829857
162	0.7372988372
163	0.736835454
164	0.7368354328
165	0.7367077
166	0.7352994249
167	0.7344021641
168	0.7333870505
169	0.7327613275
170	0.73258079
171	0.7320739595
172	0.7316833827
173	0.731558963
174	0.7312865266
175	0.7307563025
176	0.7303230162
177	0.7297159817
178	0.7294825905
179	0.7288932035
180	0.7287285344
181	0.7281207151
182	0.7276735995
183	0.7265396598
184	0.726317356
185	0.7262970996
186	0.725860651
187	0.725382952
188	0.7242600681
189	0.7236457178
190	0.7227488992
191	0.7220893171
192	0.7212910022
193	0.7197967136
194	0.7188146809
195	0.7185188735
196	0.7185187719
197	0.7179637238
198	0.7174087903
199	0.7166747534
200	0.7160740155
201	0.7154673401
202	0.7145470959
203	0.7142261302
204	0.7133838422
205	0.7125288769
206	0.7116869037
207	0.7111525553
208	0.7097999034
